function_name,start_address,end_address,size_bytes
LAB_80032784,0x80032784,0x800327A4,32
FUN_80032800,0x80032800,0x80032804,4
LAB_80032874,0x80032874,0x800328AC,56
LAB_80032974,0x80032974,0x80032978,4
FUN_80043970,0x80043970,0x80043AD4,356
LAB_80042504,0x80042504,0x8004251C,24
FUN_80043354,0x80043354,0x800433A4,80
LAB_80042764,0x80042764,0x8004276C,8
LAB_80033264,0x80033264,0x80033330,204
LAB_80033238,0x80033238,0x8003325C,36
LAB_80043664,0x80043664,0x8004366C,8
LAB_80034004,0x80034004,0x80034008,4
FUN_80043808,0x80043808,0x80043854,76
LAB_80034008,0x80034008,0x80034090,136
LAB_80034090,0x80034090,0x80034104,116
LAB_80034128,0x80034128,0x8003413C,20
LAB_80034104,0x80034104,0x80034128,36
FUN_80043920,0x80043920,0x80043930,16
FUN_80034170,0x80034170,0x800341E4,116
LAB_80044440,0x80044440,0x80044454,20
FUN_80045838,0x80045838,0x80045858,32
LAB_80044588,0x80044588,0x800445A8,32
LAB_80035024,0x80035024,0x800350F4,208
LAB_80035108,0x80035108,0x80035110,8
LAB_80035110,0x80035110,0x80035168,88
LAB_80035168,0x80035168,0x800351C4,92
LAB_80035220,0x80035220,0x80035244,36
LAB_80035278,0x80035278,0x800352EC,116
LAB_80035348,0x80035348,0x800353A8,96
LAB_80035418,0x80035418,0x8003542C,20
LAB_80035524,0x80035524,0x8003555C,56
LAB_80035594,0x80035594,0x800355A8,20
FUN_80035600,0x80035600,0x80035650,80
FUN_80045508,0x80045508,0x8004551C,20
LAB_80035650,0x80035650,0x8003566C,28
LAB_80035700,0x80035700,0x80035708,8
LAB_80035760,0x80035760,0x80035774,20
LAB_80045108,0x80045108,0x80045148,64
LAB_80035970,0x80035970,0x80035A24,180
LAB_80035914,0x80035914,0x80035934,32
LAB_80035934,0x80035934,0x8003596C,56
LAB_80045200,0x80045200,0x80045234,52
LAB_80045330,0x80045330,0x80045340,16
FUN_80045724,0x80045724,0x80045778,84
FUN_80045410,0x80045410,0x80045420,16
LAB_80045420,0x80045420,0x80045428,8
LAB_80036010,0x80036010,0x80036038,40
FUN_80036038,0x80036038,0x80036070,56
LAB_80036070,0x80036070,0x800360B0,64
LAB_80036314,0x80036314,0x80036328,20
LAB_80036304,0x80036304,0x80036314,16
LAB_80036328,0x80036328,0x80036384,92
LAB_80036384,0x80036384,0x80036394,16
LAB_80036394,0x80036394,0x800363A4,16
LAB_80036618,0x80036618,0x800366F4,220
LAB_80036710,0x80036710,0x8003677C,108
LAB_80036820,0x80036820,0x80036884,100
LAB_80036890,0x80036890,0x800368B0,32
LAB_80036884,0x80036884,0x80036890,12
FUN_80046090,0x80046090,0x800460C0,48
LAB_80036920,0x80036920,0x80036940,32
LAB_80036914,0x80036914,0x80036920,12
LAB_80046120,0x80046120,0x800461B0,144
LAB_80036940,0x80036940,0x80036978,56
LAB_80037014,0x80037014,0x80037080,108
LAB_80037080,0x80037080,0x800370A4,36
FUN_80037108,0x80037108,0x8003714C,68
FUN_80037164,0x80037164,0x80037174,16
LAB_80037338,0x80037338,0x80037414,220
LAB_80037480,0x80037480,0x80037488,8
LAB_80037414,0x80037414,0x80037438,36
LAB_80037468,0x80037468,0x80037480,24
FUN_80037488,0x80037488,0x80037500,120
LAB_80037818,0x80037818,0x80037834,28
LAB_80037814,0x80037814,0x80037818,4
LAB_80037500,0x80037500,0x80037584,132
FUN_80040764,0x80040764,0x800407E0,124
LAB_80037584,0x80037584,0x800375C0,60
LAB_80037834,0x80037834,0x800378C8,148
LAB_80037978,0x80037978,0x8003797C,4
LAB_80037924,0x80037924,0x80037978,84
FUN_80047268,0x80047268,0x8004726C,4
FUN_80047348,0x80047348,0x80047388,64
FUN_80047444,0x80047444,0x80047494,80
LAB_80047664,0x80047664,0x800476C4,96
FUN_80047760,0x80047760,0x800477D8,120
LAB_80047750,0x80047750,0x80047760,16
FUN_80049840,0x80049840,0x80049880,64
LAB_80038164,0x80038164,0x80038188,36
LAB_80038188,0x80038188,0x800381D4,76
LAB_80038208,0x80038208,0x80038244,60
LAB_80038244,0x80038244,0x80038264,32
LAB_80038354,0x80038354,0x800384B4,352
LAB_80038344,0x80038344,0x80038354,16
LAB_80038570,0x80038570,0x80038594,36
LAB_80038550,0x80038550,0x80038570,32
LAB_80038594,0x80038594,0x80038688,244
LAB_80038688,0x80038688,0x800386C8,64
FUN_80049980,0x80049980,0x80049998,24
FUN_80049200,0x80049200,0x8004921C,28
LAB_80039058,0x80039058,0x800390E8,144
LAB_80039110,0x80039110,0x80039140,48
LAB_80039278,0x80039278,0x800392B4,60
LAB_80039140,0x80039140,0x800391A4,100
LAB_80039318,0x80039318,0x80039358,64
LAB_80039360,0x80039360,0x80039378,24
LAB_80039358,0x80039358,0x80039360,8
LAB_80039378,0x80039378,0x800393B0,56
LAB_80039400,0x80039400,0x80039418,24
LAB_80039418,0x80039418,0x8003941C,4
LAB_80039510,0x80039510,0x80039558,72
LAB_80039728,0x80039728,0x8003972C,4
LAB_80039558,0x80039558,0x800395C8,112
LAB_80039678,0x80039678,0x80039690,24
LAB_80039690,0x80039690,0x800396D0,64
LAB_80039774,0x80039774,0x80039790,28
LAB_80039790,0x80039790,0x800397C8,56
LAB_80039834,0x80039834,0x80039870,60
LAB_80039870,0x80039870,0x80039888,24
LAB_80039888,0x80039888,0x800398C4,60
LAB_80039918,0x80039918,0x80039930,24
LAB_80039930,0x80039930,0x8003996C,60
LAB_80039984,0x80039984,0x800399A4,32
FUN_80049378,0x80049378,0x80049398,32
LAB_80049528,0x80049528,0x80049530,8
FUN_80049728,0x80049728,0x80049738,16
LAB_80049978,0x80049978,0x80049980,8
FUN_80049934,0x80049934,0x80049954,32
FUN_80052544,0x80052544,0x800525B0,108
FUN_80044104,0x80044104,0x80044160,92
FUN_80053194,0x80053194,0x800531C4,48
FUN_80042110,0x80042110,0x80042130,32
FUN_80042344,0x80042344,0x80042394,80
FUN_80042000,0x80042000,0x80042014,20
FUN_80042294,0x80042294,0x800422C0,44
FUN_80063264,0x80063264,0x8006328C,40
FUN_80051694,0x80051694,0x800516E8,84
FUN_80052640,0x80052640,0x80052650,16
FUN_80052310,0x80052310,0x80052324,20
FUN_80052470,0x80052470,0x8005253C,204
FUN_80049530,0x80049530,0x80049558,40
FUN_80049578,0x80049578,0x80049584,12
FUN_80051124,0x80051124,0x80051148,36
FUN_80050444,0x80050444,0x8005045C,24
FUN_80050254,0x80050254,0x80050284,48
LAB_80040108,0x80040108,0x80040124,28
LAB_80040124,0x80040124,0x800401D0,172
FUN_80050624,0x80050624,0x80050650,44
LAB_80040298,0x80040298,0x800402B8,32
LAB_80040310,0x80040310,0x8004031C,12
LAB_80040384,0x80040384,0x800403A4,32
LAB_80040550,0x80040550,0x80040564,20
FUN_80040564,0x80040564,0x80040570,12
LAB_80040660,0x80040660,0x80040688,40
FUN_80040800,0x80040800,0x8004084C,76
FUN_80050760,0x80050760,0x80050774,20
FUN_80050658,0x80050658,0x8005065C,4
FUN_80040888,0x80040888,0x800408A8,32
LAB_80040954,0x80040954,0x8004096C,24
LAB_80050348,0x80050348,0x80050360,24
LAB_80050470,0x80050470,0x8005048C,28
LAB_80050650,0x80050650,0x80050658,8
LAB_80050738,0x80050738,0x80050740,8
LAB_80050740,0x80050740,0x80050760,32
LAB_80041218,0x80041218,0x80041260,72
LAB_80041138,0x80041138,0x800411A0,104
LAB_80041214,0x80041214,0x80041218,4
LAB_80041260,0x80041260,0x80041270,16
LAB_80041270,0x80041270,0x8004129C,44
